antecedents,consequents,case_count,support,confidence,lift
"frozenset({'PHENYTOIN', 'IBUPROFEN'})",frozenset({'Drug ineffective for unapproved indication'}),8,0.0013413816230717639,0.19999999999999998,22.50566037735849
"frozenset({'CARBAMAZEPINE', 'LEVETIRACETAM'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.12727272727272726,1.8334650856389987
"frozenset({'GABAPENTIN', 'CLOBAZAM'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.1346153846153846,1.939241917502787
"frozenset({'VALPROIC ACID', 'LAMOTRIGINE'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.125,1.8007246376811594
"frozenset({'LACOSAMIDE', 'ZONISAMIDE'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.30434782608695654,4.384373030875867
"frozenset({'CANDESARTAN', 'AZATHIOPRINE'})",frozenset({'Obstructive airways disorder'}),7,0.0011737089201877935,0.11864406779661017,101.08474576271186
"frozenset({'PREDNISOLONE', 'LEVETIRACETAM'})",frozenset({'Condition aggravated'}),7,0.0011737089201877935,0.30434782608695654,23.57312252964427
"frozenset({'PHENYTOIN', 'CLOBAZAM'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.16279069767441862,2.3451297607010453
"frozenset({'CARBAMAZEPINE', 'LACOSAMIDE'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.21212121212121213,3.055775142731665
"frozenset({'GABAPENTIN', 'DULOXETINE'})",frozenset({'Serotonin syndrome'}),7,0.0011737089201877935,0.10447761194029852,15.977037887485649
"frozenset({'PHENOBARBITAL', 'LEVETIRACETAM'})",frozenset({'Off label use'}),7,0.0011737089201877935,0.11111111111111112,2.8079096045197742
"frozenset({'GABAPENTIN', 'DULOXETINE'})",frozenset({'Cholestatic liver injury'}),7,0.0011737089201877935,0.10447761194029852,56.645861601085485
"frozenset({'GABAPENTIN', 'PHENOBARBITAL'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.15555555555555556,2.240901771336554
"frozenset({'VALPROIC ACID', 'OXCARBAZEPINE'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.35,5.042028985507247
"frozenset({'PHENYTOIN', 'IBUPROFEN'})",frozenset({'Off label use'}),7,0.0011737089201877935,0.175,4.422457627118644
"frozenset({'LEVETIRACETAM', 'PREGABALIN'})",frozenset({'Ischaemic stroke'}),7,0.0011737089201877935,0.16666666666666666,41.416666666666664
"frozenset({'CARBAMAZEPINE', 'AMITRIPTYLINE'})",frozenset({'Fall'}),7,0.0011737089201877935,0.17073170731707316,19.212149102623098
"frozenset({'CLOBAZAM', 'BACLOFEN'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.14893617021276595,2.1455442491520196
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Drug ineffective'}),7,0.0011737089201877935,0.14893617021276595,2.1455442491520196
"frozenset({'BENZTROPINE', 'MELATONIN'})",frozenset({'Cardiac arrest'}),7,0.0011737089201877935,0.4375,130.4625
"frozenset({'BENZTROPINE', 'MELATONIN'})",frozenset({'Death'}),6,0.001006036217303823,0.37500000000000006,117.71052631578948
"frozenset({'BENZTROPINE', 'LAMOTRIGINE'})",frozenset({'Death'}),6,0.001006036217303823,0.37500000000000006,117.71052631578948
"frozenset({'LAMOTRIGINE', 'ZOLPIDEM'})",frozenset({'Suicidal ideation'}),6,0.001006036217303823,0.11764705882352941,25.058823529411764
"frozenset({'GABAPENTIN', 'AMITRIPTYLINE'})",frozenset({'Anal incontinence'}),6,0.001006036217303823,0.14285714285714288,121.71428571428572
"frozenset({'PREGABALIN', 'BACLOFEN'})",frozenset({'Altered state of consciousness'}),6,0.001006036217303823,0.11320754716981132,67.51698113207547
"frozenset({'TOPIRAMATE', 'OXCARBAZEPINE'})",frozenset({'Hypokalaemia'}),6,0.001006036217303823,0.20689655172413796,72.5841784989858
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Suicide attempt'}),6,0.001006036217303823,0.16666666666666669,31.062500000000004
"frozenset({'METOCLOPRAMIDE', 'ZOPICLONE'})",frozenset({'Ischaemic stroke'}),6,0.001006036217303823,0.5454545454545455,135.54545454545456
"frozenset({'LAMOTRIGINE', 'ZONISAMIDE'})",frozenset({'Foetal exposure during pregnancy'}),6,0.001006036217303823,0.20689655172413796,32.471869328493646
"frozenset({'DIAZEPAM', 'ZOPICLONE'})",frozenset({'Myocardial infarction'}),6,0.001006036217303823,0.17142857142857146,73.02857142857144
"frozenset({'TOPIRAMATE', 'LEVETIRACETAM'})",frozenset({'Multiple-drug resistance'}),6,0.001006036217303823,0.1090909090909091,23.236363636363638
"frozenset({'CLOBAZAM', 'BACLOFEN'})",frozenset({'Drug dependence'}),6,0.001006036217303823,0.1276595744680851,34.6073500967118
"frozenset({'DIAZEPAM', 'METHYLPHENIDATE'})",frozenset({'Pulmonary embolism'}),6,0.001006036217303823,0.6666666666666667,165.66666666666666
"frozenset({'MYCOPHENOLATE MOFETIL', 'ECULIZUMAB'})",frozenset({'COVID-19'}),6,0.001006036217303823,0.8571428571428572,164.90322580645162
"frozenset({'LAMOTRIGINE', 'ZOLPIDEM'})",frozenset({'Condition aggravated'}),6,0.001006036217303823,0.11764705882352941,9.11229946524064
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Suicidal ideation'}),6,0.001006036217303823,0.16666666666666669,35.5
"frozenset({'RISPERIDONE', 'ZOPICLONE'})",frozenset({'Fall'}),6,0.001006036217303823,0.14285714285714288,16.07547169811321
"frozenset({'ACYCLOVIR', 'CEFTRIAXONE'})",frozenset({'Stevens-Johnson syndrome'}),6,0.001006036217303823,0.3157894736842105,110.78637770897832
"frozenset({'LAMOTRIGINE', 'ZOLPIDEM'})",frozenset({'Drug ineffective'}),6,0.001006036217303823,0.11764705882352941,1.6947996589940324
"frozenset({'LAMOTRIGINE', 'RISPERIDONE'})",frozenset({'Drug ineffective'}),6,0.001006036217303823,0.12,1.728695652173913
"frozenset({'VANCOMYCIN', 'RITUXIMAB'})",frozenset({'Quadriparesis'}),6,0.001006036217303823,1.0,852.0
"frozenset({'PHENYTOIN', 'VALPROIC ACID'})",frozenset({'Drug ineffective'}),6,0.001006036217303823,0.17142857142857146,2.4695652173913047
"frozenset({'TOPIRAMATE', 'ZONISAMIDE'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.2380952380952381,3.4299516908212566
"frozenset({'DULOXETINE', 'BACLOFEN'})",frozenset({'Suicidal ideation'}),5,0.0008383635144198525,0.2272727272727273,48.409090909090914
"frozenset({'ZOLPIDEM', 'PRAMIPEXOLE'})",frozenset({'Condition aggravated'}),5,0.0008383635144198525,0.2631578947368421,20.38277511961722
"frozenset({'VALPROIC ACID', 'DIAZEPAM'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.13157894736842105,1.8954996186117468
"frozenset({'CLOBAZAM', 'MELATONIN'})",frozenset({'Off label use'}),5,0.0008383635144198525,0.13157894736842105,3.325156110615522
"frozenset({'CLOBAZAM', 'MELATONIN'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.13157894736842105,1.8954996186117468
"frozenset({'VALPROIC ACID', 'RISPERIDONE'})",frozenset({'Neuroleptic malignant syndrome'}),5,0.0008383635144198525,0.11111111111111112,50.97435897435898
"frozenset({'PREDNISOLONE', 'LEVETIRACETAM'})",frozenset({'Hepatic cytolysis'}),5,0.0008383635144198525,0.2173913043478261,64.82608695652175
"frozenset({'TOPIRAMATE', 'PHENOBARBITAL'})",frozenset({'Multiple-drug resistance'}),5,0.0008383635144198525,0.2380952380952381,50.714285714285715
"frozenset({'VANCOMYCIN', 'CEFTRIAXONE'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.11363636363636365,1.6370223978919634
"frozenset({'CARBAMAZEPINE', 'LAMOTRIGINE'})",frozenset({'BRASH syndrome'}),5,0.0008383635144198525,0.1388888888888889,165.66666666666666
"frozenset({'LAMOTRIGINE', 'DIAZEPAM'})",frozenset({'Drug reaction with eosinophilia and systemic symptoms'}),5,0.0008383635144198525,0.15625,32.133620689655174
"frozenset({'CARBAMAZEPINE', 'AMITRIPTYLINE'})",frozenset({'Depressed level of consciousness'}),5,0.0008383635144198525,0.12195121951219512,36.36585365853659
"frozenset({'ACYCLOVIR', 'METOCLOPRAMIDE'})",frozenset({'Inappropriate antidiuretic hormone secretion'}),5,0.0008383635144198525,0.2777777777777778,118.33333333333334
"frozenset({'LAMOTRIGINE', 'PRAMIPEXOLE'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.1388888888888889,2.000805152979066
"frozenset({'VALPROIC ACID', 'PREGABALIN'})",frozenset({'Serotonin syndrome'}),5,0.0008383635144198525,0.3125,47.78846153846153
"frozenset({'DULOXETINE', 'ZOPICLONE'})",frozenset({'Suicidal ideation'}),5,0.0008383635144198525,0.17857142857142858,38.035714285714285
"frozenset({'CLOBAZAM', 'BACLOFEN'})",frozenset({'Product prescribing error'}),5,0.0008383635144198525,0.10638297872340426,63.4468085106383
"frozenset({'GABAPENTIN', 'DIAZEPAM'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.1282051282051282,1.8468970642883686
"frozenset({'DULOXETINE', 'RISPERIDONE'})",frozenset({'Encephalopathy'}),5,0.0008383635144198525,0.33333333333333337,142.0
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Product prescribing error'}),5,0.0008383635144198525,0.10638297872340426,63.4468085106383
"frozenset({'MELATONIN', 'PHENOBARBITAL'})",frozenset({'Product use issue'}),5,0.0008383635144198525,0.13157894736842105,65.39473684210526
"frozenset({'ACYCLOVIR', 'IBUPROFEN'})",frozenset({'Hepatitis acute'}),5,0.0008383635144198525,0.7142857142857143,532.5
"frozenset({'VALPROIC ACID', 'PHENOBARBITAL'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.2272727272727273,3.2740447957839267
"frozenset({'MYCOPHENOLATE MOFETIL', 'LEVETIRACETAM'})",frozenset({'Venoocclusive liver disease'}),5,0.0008383635144198525,0.3125,372.75
"frozenset({'MELATONIN', 'BACLOFEN'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.11627906976744186,1.6750926862150322
"frozenset({'TRIHEXYPHENIDYL', 'AMANTADINE'})",frozenset({'Somnolence'}),5,0.0008383635144198525,0.25,29.235294117647058
"frozenset({'TOPIRAMATE', 'AMITRIPTYLINE'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.19999999999999998,2.881159420289855
"frozenset({'PHENOBARBITAL', 'BACLOFEN'})",frozenset({'Drug dependence'}),5,0.0008383635144198525,0.10638297872340426,28.8394584139265
"frozenset({'GABAPENTIN', 'PHENOBARBITAL'})",frozenset({'Drug dependence'}),5,0.0008383635144198525,0.11111111111111112,30.121212121212125
"frozenset({'VALPROIC ACID', 'RISPERIDONE'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.11111111111111112,1.600644122383253
"frozenset({'MELATONIN', 'PHENOBARBITAL'})",frozenset({'Drug ineffective'}),5,0.0008383635144198525,0.13157894736842105,1.8954996186117468
