Drug1,Drug2,PT,case_count,support,confidence,lift
AMITRIPTYLINE,GALANTAMINE,Balance disorder,2,0.00033534540576794097,0.15384615384615383,114.69230769230768
RASAGILINE,PRAMIPEXOLE,Neck pain,2,0.00033534540576794097,0.15384615384615383,114.69230769230768
DIAZEPAM,ZOLPIDEM,Sopor,2,0.00033534540576794097,0.13333333333333333,113.6
DIAZEPAM,ZOLPIDEM,Drug use disorder,2,0.00033534540576794097,0.13333333333333333,113.6
ACYCLOVIR,CEFTRIAXONE,Stevens-Johnson syndrome,6,0.001006036217303823,0.3157894736842105,110.78637770897832
PHENYTOIN,ZOPICLONE,Inspiratory capacity decreased,2,0.00033534540576794097,0.22222222222222224,110.44444444444444
LEVETIRACETAM,CEFTRIAXONE,Vision blurred,2,0.00033534540576794097,0.11111111111111112,110.44444444444444
GABAPENTIN,LAMOTRIGINE,Cholestasis,2,0.00033534540576794097,0.19999999999999998,108.43636363636362
VALPROIC ACID,BACLOFEN,Sedation,2,0.00033534540576794097,0.19999999999999998,108.43636363636362
NAPROXEN,DOMPERIDONE,Blepharospasm,2,0.00033534540576794097,0.19999999999999998,108.43636363636362
MODAFINIL,PROPRANOLOL,Neutropenia,2,0.00033534540576794097,0.6666666666666666,107.45945945945947
TERIFLUNOMIDE,DULOXETINE,Neutropenia,2,0.00033534540576794097,0.6666666666666666,107.45945945945947
TOPIRAMATE,ETHOSUXIMIDE,Multiple-drug resistance,2,0.00033534540576794097,0.5,106.5
ETHOSUXIMIDE,PHENOBARBITAL,Multiple-drug resistance,2,0.00033534540576794097,0.5,106.5
CANDESARTAN,ZOPICLONE,Ischaemic stroke,3,0.0005030181086519115,0.4285714285714286,106.5
LACOSAMIDE,PREGABALIN,Asthenia,3,0.0005030181086519115,0.25,106.5
OXCARBAZEPINE,BACLOFEN,Agitation,2,0.00033534540576794097,0.25,106.5
RASAGILINE,ROPINIROLE,Dyskinesia,2,0.00033534540576794097,0.25,106.5
LAMOTRIGINE,DIAZEPAM,Intestinal obstruction,4,0.0006706908115358819,0.125,106.5
ACYCLOVIR,PREDNISOLONE,Intentional product use issue,2,0.00033534540576794097,0.125,106.5
GABAPENTIN,VANCOMYCIN,Diarrhoea,4,0.0006706908115358819,0.4444444444444445,106.02666666666667
RISPERIDONE,PHENOBARBITAL,Seizure,2,0.00033534540576794097,0.6666666666666666,104.63157894736841
METHYLPHENIDATE,BACLOFEN,Drug abuse,2,0.00033534540576794097,0.3333333333333333,104.63157894736841
DULOXETINE,METOCLOPRAMIDE,Serotonin syndrome,2,0.00033534540576794097,0.6666666666666666,101.94871794871794
CANDESARTAN,AZATHIOPRINE,Obstructive airways disorder,7,0.0011737089201877935,0.11864406779661017,101.08474576271186
DIAZEPAM,PROPRANOLOL,Anxiety,2,0.00033534540576794097,0.2857142857142857,100.23529411764706
NAPROXEN,LAMOTRIGINE,Gastrooesophageal reflux disease,3,0.0005030181086519115,0.15,99.4
RISPERIDONE,PROPRANOLOL,Psychotic disorder,2,0.00033534540576794097,0.18181818181818182,98.57851239669422
GABAPENTIN,AMANTADINE,Serotonin syndrome,9,0.0015090543259557343,0.6428571428571428,98.30769230769229
ACYCLOVIR,METOCLOPRAMIDE,Decreased appetite,2,0.00033534540576794097,0.11111111111111112,94.66666666666667
OXCARBAZEPINE,PHENOBARBITAL,Muscle spasms,2,0.00033534540576794097,0.11111111111111112,94.66666666666667
ACYCLOVIR,METOCLOPRAMIDE,Swelling,2,0.00033534540576794097,0.11111111111111112,94.66666666666667
LAMOTRIGINE,PHENOBARBITAL,Seizure,3,0.0005030181086519115,0.6,94.16842105263157
